source,preprint_doi,published_doi,published_journal,preprint_title,preprint_authors,preprint_category,preprint_date,published_date,preprint_abstract
medrxiv,10.64898/2026.03.19.26348739,10.1016/j.xops.2026.101298,Ophthalmology Science,Whole-genome sequence genome-wide association study in All of Us identifies a novel glaucoma risk locus in African ancestry individuals,"Aboobakar, I. F.; Cruz, L. A.; Kinzy, T. G.; Luo, Y.; Nallapaneni, S.; Do, R.; Vy, H. M.; Zhao, H.; Tran, J.; Hysi, P.; Khawaja, A. P.; Gharahkhani, P.; Pasquale, L. R.; Hauser, M. A.; International Glaucoma Genetics Consortium,  ; Segre, A. V.; Crawford, D. C.; Wiggs, J. L.; Cooke Bailey, J. N.",ophthalmology,2026-03-22,2026-06-23,"ObjectiveTo assess how whole genome sequencing and varying phenotype definitions influence genetic discovery for primary open-angle glaucoma (POAG) in a diverse population.

DesignAncestry-stratified genome-wide association studies (GWASs) and cross-ancestry meta-analyses of POAG cases and controls using two phenotype definitions.

ParticipantsCases (age>40) and controls (age>65) were identified in the National Institutes of Health All of Us Research Program v8 data release and sub-divided into genetically inferred ancestral groups. Using the relaxed phenotype (ICD codes only), case/control counts were: European (1,846/84,654), African (1,042/15,966), and Latino/Admixed American (305/10,167). Using the stringent phenotype (ICD codes and evidence of glaucoma treatment in the electronic health record), case/control counts were: European (1,528/79,276), African (862/14,076), and Latino/Admixed American (250/9,668). Cross-ancestry meta-analyses included 3,193 cases/110,787 controls for the relaxed phenotype and 2,640 cases/103,020 controls for the stringent phenotype.

MethodsGWASs were conducted within European, African, and Latino/Admixed American ancestry groups individually using firth logistic regression with age, sex, and the top 10 genotype principal components included as covariates. The ancestry-stratified GWASs were then meta-analyzed using a fixed-effects, inverse variance-weighted approach.

Main Outcome MeasuresIdentification of genome-wide significant loci (P < 5x10-8) for POAG using different phenotype definitions and ancestry groups.

ResultsKnown POAG risk loci (e.g., TMCO1, CDKN2B-AS1, and GMDS) reached genome-wide significance in both the European GWASs and cross-ancestry meta-analyses (odds ratio (OR) range: 1.19-1.38). A novel risk locus near CYP2A7 (rs76935404[T], OR = 1.35) was identified in the African ancestry GWAS using the stringent phenotype definition. Effect sizes for known POAG risk loci from prior large-scale meta-analyses strongly correlated with effect sizes in this study (Pearson r = 0.75-0.84, P < 1 x 10- for all). The strength and consistency of these correlations support the robustness of the findings.

ConclusionsThis study demonstrates the value of whole genome sequencing, diverse ancestry inclusion, and phenotypic refinement in uncovering novel POAG genetic risk loci. The findings underscore the need to prioritize both genetic diversity and refined case/control definitions to advance understanding of this complex ocular disease.

PrecisThis study identifies a novel primary open-angle glaucoma risk locus in individuals of African ancestry using whole genome sequencing and varying phenotype definitions in the diverse All of Us Research Program dataset."
medrxiv,10.1101/2024.08.12.24311750,10.1161/strokeaha.124.049116,Stroke,Continuous bedside neuroimaging using high-density diffuse optical tomography in a pediatric patient on extracorporeal support,"McMorrow, S. R.; Park, S. M.; George, T. G.; Sobolewski, C. M.; Yang, D.; King, K. T.; Kenley, J.; Smyser, C. D.; Culver, J. P.; Guilliams, K. P.; Said, A. S.; Eggebrecht, A. T.",neurology,2024-08-14,2024-11-27,"BackgroundExtracorporeal membrane oxygenation (ECMO) provides life support for severe, reversible cardiac or respiratory failure, yet is associated with significant neurological risks including stroke. Currently available neuroimaging methods have limited sensitivity or specificity to detect early brain injury, have little real-time ability to assess interventions, and/or pose additional risks. Here, we present a case study of high-density diffuse optical tomography (HD-DOT) for bedside neuroimaging in pediatric ECMO.

MethodsA young infant supported on ECMO following cardiac surgery underwent continuous HD-DOT imaging over a two-hour duration that included baseline support and a clamp trial to test the ability to separate from ECMO. After stringent data quality assessments, we estimated cortical parcel-based brain functional connectivity (FC), evaluated spatial correlations between neighboring temporal epochs throughout the recording to evaluate test-retest reliability of brain FC, and calculated paired t-tests between the brain-wide set of test-retest values to test for significant changes in brain FC.

ResultsHigh-fidelity bedside HD-DOT data were acquired without disruptions to patient care. During the baseline period, we observed strong test-retest with consistent bilateral FC patterns. Significant disruptions in cortical FC reflected concurrent changes in cerebral blood flow during the clamp trial and persisted after ECMO resumed.

ConclusionsOur results demonstrate the feasibility of continuous bedside HD-DOT neuroimaging in pediatric ECMO. HD-DOT can potentially provide clinically relevant information on cortical FC during ECMO support."
medrxiv,10.1101/2023.03.06.23286878,10.1093/gerona/glaf053,"The Journals of Gerontology, Series A: Biological Sciences and Medical Sciences","Severe cognitive impairment is linked to a reduced gut microbiome capacity to synthesise immunomodulators, neurotransmitters, and amino acids required for autophagy in residents of long-term aged care","Shoubridge, A. P.; Carpenter, L.; Flynn, E.; Papanicolas, L. E.; Collins, J.; Gordon, D.; Lynn, D.; Whitehead, C.; Leong, L.; Cations, M.; De Souza, D.; Narayana, V.; Choo, J.; Wesselingh, S. L.; Crotty, M.; Inacio, M. C.; Ivey, K.; Taylor, S. L.; Rogers, G. B.",geriatric medicine,2023-03-08,2025-04-01,"Ageing-associated cognitive decline affects more than half of those in long-term residential aged care. Emerging evidence suggests that gut microbiome-host interactions influence the effects of modifiable risk factors. We investigated the relationship between gut microbiome characteristics and severity of cognitive impairment (CI) in 159 residents of long-term aged care. Severe CI was associated with a significantly increased abundance of proinflammatory bacterial species, including Methanobrevibacter smithii and Alistipes finegoldii, and decreased relative abundance of beneficial bacterial clades. Severe CI was associated with increased microbial capacity for methanogenesis, and reduced capacity for synthesis of short-chain fatty acids, neurotransmitters glutamate and gamma-aminobutyric acid, and amino acids required for neuro-protective lysosomal activity. These relationships were independent of age, sex, antibiotic exposure, and diet. Our findings implicate multiple gut microbiome-brain pathways in ageing-associated cognitive decline, including inflammation, neurotransmission, and autophagy, and highlight the potential to predict and prevent cognitive decline through microbiome-targeted strategies."
biorxiv,10.1101/2021.01.11.425914,10.1016/j.jhazmat.2021.126463,Journal of Hazardous Materials,An insight into neurotoxic and toxicity of spike fragments SARS-CoV-2 by exposure environment: A threat to aquatic health?,"Charlie-Silva, I.; Araujo, A.; Guimaraes, A.; Veras, F.; Braz, H.; Pontes, L.; Jorge, R.; Belo, M.; Fernandes, B.; Nobrega, R. H.; Galdino, G.; Condino-Neto, A.; Galindo-Villegas, J.; Machodo-Santelli, G.; Sanches, P.; Rezende, R.; Cilli, E.; Malafaia, G.",molecular biology,2021-01-13,2021-06-25,"The Spike protein (S protein) is a critical component in the infection of the new coronavirus (SARS-CoV-2). The objective of this work was to evaluate whether peptides from S protein could cause negative impact in the aquatic animals. The aquatic toxicity of SARS-CoV-2 spike protein peptides derivatives has been evaluated in tadpoles (n = 50 tadpoles / 5 replicates of 10 animals) from species Physalaemus cuvieri (Leptodactylidae). After synthesis, purification, and characterization of peptides (PSDP2001, PSDP2002, PSDP2003) an aquatic contamination has been simulatedwith these peptides during 24 hours of exposure in two concentrations (100 and 500 ng/mL). The control group (""C"") was composed of tadpoles kept in polyethylene containers containing de-chlorinated water. Oxidative stress, antioxidant biomarkers and neurotoxicity activity were assessed. In both concentrations, PSPD2002 and PSPD2003 increased catalase and superoxide dismutase antioxidants enzymes activities, as well as oxidative stress (nitrite levels, hydrogen peroxide and reactive oxygen species). All three peptides also increased acetylcholinesterase activity in the highest concentration. These peptides showed molecular interactions in silico with acetylcholinesterase and antioxidant enzymes. Aquatic particle contamination of SARS-CoV-2 has neurotoxics effects in P. cuvieri tadpoles. These findings indicate that the COVID-19 can constitute environmental impact or biological damage potential.

HIGHLIGHTSO_LISARS-CoV-2 spike protein peptides (PSDP) were synthesized, purified, and characterized by solid phase peptide synthesis.
C_LIO_LIPSDP peptides promoted REDOX imbalance and acute neurotoxicity in tadpoles (Physalaemus cuvieri)
C_LIO_LIIn silico studies have shown interactionsbetween peptides and acetylcholinesterase and antioxidant enzymes
C_LIO_LIAquatic particle contamination of SARS-CoV-2 can constitute additional environmental damage
C_LI

GRAPHICAL ABSTRACT

O_FIG O_LINKSMALLFIG WIDTH=200 HEIGHT=106 SRC=""FIGDIR/small/425914v1_ufig1.gif"" ALT=""Figure 1"">
View larger version (49K):
org.highwire.dtl.DTLVardef@1b86f96org.highwire.dtl.DTLVardef@1a6225corg.highwire.dtl.DTLVardef@19d953org.highwire.dtl.DTLVardef@10af7ff_HPS_FORMAT_FIGEXP  M_FIG C_FIG"
biorxiv,10.1101/2020.07.16.207654,10.1126/sciadv.abd7924,Science Advances,Hoxa10 mediates positional memory to govern stem cell function in adult skeletal muscle,"Yoshioka, K.; Nagahisa, H.; Miura, F.; Araki, H.; Kamei, Y.; Kitajima, Y.; Seko, D.; Nogami, J.; Tsuchiya, Y.; Okazaki, N.; Yonekura, A.; Ohba, S.; Sumita, Y.; Chiba, K.; Ito, K.; Asahina, I.; Ogawa, Y.; Ito, T.; Ohkawa, Y.; Ono, Y.",developmental biology,2020-07-17,2021-06-09,"Skeletal muscle stem cells (satellite cells) are distributed throughout the body with heterogeneous properties that corresponds to region-specific pathophysiology. However, topographical genes that have functions remain unidentified in satellite cells of adult muscle. Here, we showed that expression of Homeobox (Hox)-A cluster genes, key regulators of the embryonic body plan, was robustly maintained in both muscles and satellite cells in adult mice and humans, which recapitulates their embryonic origin. We observed that regionally specific expressed Hox genes were linked to hypermethylation of the Hox-A locus. We examined Hoxa10 inactivation in satellite cells and found it led to genomic instability and mitotic catastrophe, which resulted in a decline in the regionally specific regenerative ability of muscles in adult mice. Thus, our results showed that Hox gene expression profiles instill the embryonic history in satellite cells as positional memory, potentially modulating the region-specificity in adult skeletal muscles."
medrxiv,10.1101/2025.08.07.25333180,10.1016/j.lungcan.2026.109334,Lung Cancer,Lung Cancer Incidence in Counties at Low and High Risk of Radon Exposure: A Population-Based SEER Analysis (1975-2022),"Maxfield, N.; Semprini, J.",public and global health,2025-08-11,2026-02-16,"BackgroundLung cancer is the leading cause of cancer-related mortality in the United States. While smoking cigarettes remains the dominant risk factor, declining smoking rates have drawn attention to Radon. Despite the known risks from individual exposure to radon, less is known about long-term trends in Radon-related lung cancer at the population-level.

MethodsUsing SEER-8 cancer registry data from four states, we compared lung cancer incidence between counties classified as low-risk and high-risk (>4.0 pCi/L) for radon exposure. Constructing a random effects Generalized Least Squares regression, which adjusted for county-level smoking prevalence, we quantified the excess lung cancer rate attributable to radon risk across decade, sex, and histologic subtype.

ResultsCompared to low-risk counties, counties at high risk of radon exposure had a significantly higher overall lung cancer incidence: 13.5+ cases per 100,000 person-years (95% CI: 10.0, 17.1). This gap between low and high-risk counties was largest for Adenocarcinoma and small cell carcinoma, and larger in males than females. Only in females did we observe the gap in lung cancer incidence between low- and high-risk counties grow overtime.

ConclusionsThis study illustrates how county-level radon data can be leveraged to enhance cancer surveillance and guide prevention and control strategies.

Key MessagesO_LIRadon is the second leading cause of lung cancer, and the primary cause among non-smokers.
C_LIO_LIHigh-risk Radon counties had higher incidence of lung cancer over a nearly 50-year period.
C_LIO_LIIn females only, the gap between low and high-risk Radon counties grew decade after decade.
C_LI"
medrxiv,10.1101/2025.04.05.25325304,10.1093/aje/kwaf280,American Journal of Epidemiology,Statistical Methods for Estimating the Protective Effects of Immune Markers Using Test-Negative Designs,"Middleton, C. E.; Larremore, D. B.",epidemiology,2025-04-07,2025-12-28,"While widely used to study vaccine effectiveness, test negative designs (TND) also provide a platform for identifying and quantifying immunological correlates of protection against disease. A key component of such studies is the protection function, the mathematical relationship between the value of an immunological assay and the relative risk of disease. This function is often estimated using logistic regression, comparing the odds of disease at a given assay value to the odds at assay value zero. Here, we show through mathematical analysis and simulation experiments that logistic regression, while common, fundamentally constrains the functional forms of protection that can be inferred from data in TNDs, potentially leading to overly simplistic estimates of the protection function. To address this limitation, we adapt and analyze a scaled logit model, originally developed for case-control data, as a flexible alternative that allows for greater flexibility in estimating protection functions from TND data. We demonstrate that this approach improves accuracy across a range of biologically plausible protection functions, highlight conditions under which it may fail, and provide practical guidance for researchers to adopt it as a new standard for TND studies evaluating correlates of protection."
biorxiv,10.1101/628321,10.1083/jcb.201905028,Journal of Cell Biology,Reactive oxygen species (ROS) production triggers unconventional secretion of antioxidant enzymes,"Cruz-Garcia, D.; Brouwers, N.; Malhotra, V.; Curwin, A. J.",cell biology,2019-05-05,2020-03-19,"Nutrient deprivation triggers the release of signal-sequence-lacking Acb1 and the antioxidant superoxide dismutase 1 (SOD1). We now report that secreted SOD1 is functionally active and accompanied by export of other antioxidant enzymes such as thioredoxins, (Trx1 and Trx2) and peroxiredoxin Ahp1, in a Grh1 dependent manner. Our data reveal that starvation leads to production of non-toxic levels of reactive oxygen species (ROS). Treatment of cells with N-acetylcysteine (NAC), which sequesters ROS, prevents antioxidants and Acb1 secretion. Starved cells lacking Grh1 are metabolically active, but defective in their ability to regrow upon return to growth conditions. Treatment with NAC restored the Grh1 dependent effect of starvation on cell growth. In sum, starvation triggers ROS production and cells respond by secreting antioxidants and Acb1, which is an important lipogenic signaling molecule in mammalian cells. We suggest that unconventional secretion of antioxidants and Acb1 like activities maintains cells in a form necessary for growth upon their eventual return from starvation to normal conditions."
biorxiv,10.1101/2025.03.27.645718,10.1016/j.talanta.2025.128680,Talanta,A Rapid and Highly Sensitive CRISPR Assay Utilizing Cas12a Orthologs for the Detection of Novel Duck Reovirus,"Wang, Y.; Fu, l.; Li, s.; Tao, d.; Gong, P.; Yang, Y.; Ruan, J.; Xie, S.; Wang, C.; He, D.",synthetic biology,2025-03-30,2025-08-06,"The novel duck reovirus (NDRV) disease presents a significant threat to the poultry industry due to the absence of effective therapeutic measures. As a result, there is an urgent need to develop innovative rapid diagnostic methods for early virus detection. In this study, we developed a Rapid Visual CRISPR Assay to detect the NDRV S3 gene using novel Cas12a orthologs. Specifically, we compared the performance of two candidates, Gs12-16 and Gs12-18, in detecting the NDRV S3 gene to identify a highly sensitive and efficient CRISPR-based diagnostic method. Our results demonstrated that both Gs12-16 and Gs12-18 exhibited strong cis- and trans-cleavage activities for classical ""TTTV"" protospacer adjacent motif (PAM)-containing targets in vitro, although they required different reaction temperatures. Notably, Gs12-18 showed relatively higher activity for dsDNA targets compared to Gs12-16, indicating that Gs12-18 is more suitable for CRISPR-based nucleic acid detection applications. To leverage these properties, we integrated Gs12-18 with loop-mediated isothermal amplification (LAMP) technology to establish a LAMP-CRISPR/Gs12-18-mediated method for detecting the NDRV S3 gene. This approach enables highly sensitive and visually detectable on-site identification of the NDRV S3 gene, achieving a sensitivity of 38 copies per reaction. Our LAMP-CRISPR/Gs12-18-based method can be utilized for highly sensitive detection of NDRV nucleic acids."
biorxiv,10.1101/2023.10.25.564072,10.1039/d4na00003j,Nanoscale Advances,Cytoplasmic Viscosity is a Potential Biomarker for Metastatic Breast Cancer Cells,"Dessard, M.; Manneville, J.-B.; Berret, J.-F.",biophysics,2023-10-27,2024-02-07,"AbstractCellular microrheology has shown that cancer cells with high metastatic potential are softer compared to non-tumorigenic normal cells. These findings rely on measuring the apparent Young modulus of whole cells using primarily atomic force microscopy. The present study aims to explore whether alternative mechanical parameters have discriminating features with regard to metastatic potential. Magnetic rotational spectroscopy (MRS) is employed in the examination of mammary epithelial cell lines: MCF-7 and MDA-MB-231, representing low and high metastatic potential, alongside normal-like MCF-10A cells. MRS utilizes active micron-sized magnetic wires in a rotating magnetic field to measure the viscosity and elastic modulus of the cytoplasm. All three cell lines display viscoelastic behavior, with cytoplasmic viscosities ranging from 10-70 Pa s and elastic moduli from 30-80 Pa. It is found that the tumorigenic MCF-7 and MDA-MB-231 cells are softer than the MCF-10A cells, with a twofold decrease in elastic modulus. To differentiate cells with low and high malignancy however, viscosity emerges as the more discriminating parameter, as MCF-7 exhibits a 5 times higher viscosity as compared to MDA-MB-231. These findings highlight the sensitivity of cytoplasmic viscosity to metastatic potential, suggesting its potential utility as a mechanical marker for malignant cancer cells.

TOC Image

O_FIG O_LINKSMALLFIG WIDTH=200 HEIGHT=94 SRC=""FIGDIR/small/564072v2_ufig1.gif"" ALT=""Figure 1"">
View larger version (37K):
org.highwire.dtl.DTLVardef@16f5b87org.highwire.dtl.DTLVardef@1e2104aorg.highwire.dtl.DTLVardef@9babddorg.highwire.dtl.DTLVardef@306489_HPS_FORMAT_FIGEXP  M_FIG C_FIG"
biorxiv,10.1101/655423,10.1038/s42004-020-0300-7,Communications Chemistry,NMR-based analysis of nucleotide π-stacking in a crowded environment: Implications for prebiotic reactions,"Bapat, N. V.; Paithankar, H.; Chugh, J.; Rajamani, S.",biophysics,2019-05-30,2020-04-30,"The inherent heterogeneity of the prebiotic milieu is often overlooked when studying nonenzymatic reactions. However, it is important to note that the prebiotic soup of a putative  RNA World would have been replete with a plethora of molecules resulting from complex chemical syntheses, as well as exogeneous delivery. The presence of such background molecules could lead to pertinent phenomenon such as molecular crowding, which can potentially affect how a reaction would advent in a crowded milieu. In the current study, we have analyzed the effect of crowding on the stacking ability of the RNA monomers, using Nuclear Magnetic Resonance (NMR) spectroscopy. Our findings corroborate that the purine monomers possess better stacking efficiency than pyrimidine based monomers. Significantly, this competence is further enhanced in the presence of a crowding agent. Interestingly, this enhanced stacking could result in higher sequestration of the purine monomers, putting their ready availability for relevant nonenzymatic polymerization and replication reactions into question. Taken together, this study demonstrates the need for systematic biophysical characterization of molecular crowding in the context of prebiotically pertinent processes. Unravelling such phenomena is essential to gather a real understanding of how the transition from abiotic to biotic, would have happened during the origin of life."
biorxiv,10.1101/2024.08.03.606464,10.1016/j.jmb.2025.168987,Journal of Molecular Biology,Driving forces for condensation of synapsin are governed by sequence-encoded molecular grammars,"Hoffmann, C.; Ruff, K. M.; Edu, I.; Kyung Shinn, M.; Tromm, J.; King, M.; Pant, A.; Ausserwoeger, H.; Morgan, J.; Knowles, T.; Pappu, R. V.; Milovanovic, D.",biochemistry,2024-08-04,2025-02-11,"Multiple biomolecular condensates coexist at the pre- and post-synapse to enable vesicle dynamics and controlled neurotransmitter release in the brain. In pre-synapses, intrinsically disordered regions (IDRs) of synaptic proteins are drivers of condensation that enable clustering of synaptic vesicles (SVs). Using computational analysis, we show that the IDRs of SV proteins feature evolutionarily conserved non-random compositional biases and sequence patterns. Synapsin-1 is essential for condensation of SVs, and its C-terminal IDR has been shown to be a key driver of condensation. Focusing on this IDR, we dissected the contributions of two conserved features namely the segregation of polar and proline residues along the linear sequence, and the compositional preference for arginine over lysine. Scrambling the blocks of polar and proline residues weakens the driving forces for forming micron-scale condensates. However, the extent of clustering in subsaturated solutions remains equivalent to that of the wild-type synapsin-1. In contrast, substituting arginine with lysine significantly weakens both the driving forces for condensation and the extent of clustering in subsaturated solutions. Co-expression of the scrambled variant of synapsin-1 with synaptophysin results in a gain-of-function phenotype in cells, whereas arginine to lysine substitutions eliminate condensation. We report an emergent consequence of synapsin-1 condensation, which is the generation of interphase pH gradients realized via differential partitioning of protons between coexisting phases. This pH gradient is likely to be directly relevant for vesicular ATPase functions and the loading of neurotransmitters. Our study highlights how conserved IDR grammars serve as drivers of synapsin-1 condensation.

Research HighlightsO_LIDistinct biomolecular condensates formed by pre-synaptic proteins contain a unique bias of sequence grammars within their IDRs.
C_LIO_LIThe IDR of synapsin-1, the essential protein for the clustering of synaptic vesicles, has a conserved compositional bias for Arg and blockiness of proline/polar residues.
C_LIO_LIUsing sequence designs, we uncovered how conserved sequence features of the driver IDR of synapsin-1 affect condensation in vitro and in cells.
C_LIO_LISynapsin-1 condensates are defined by a measurable interphase pH gradient.
C_LI"
biorxiv,10.1101/591065,10.1371/journal.pgen.1008501,PLOS Genetics,The MITF-SOX10 regulated long non-coding RNA DIRC3 is a melanoma tumour suppressor,"Coe, E. A.; Tan, J. Y.; Shapiro, M.; Louphrasitthiphol, P.; Bassett, A. R.; Marques, A. C.; Goding, C. R.; Vance, K. W.",cancer biology,2019-03-27,2019-12-27,"The MITF and SOX10 transcription factors regulate the expression of genes important for melanoma proliferation, invasion and metastasis. Despite growing evidence of the contribution of long noncoding RNAs (lncRNAs) in cancer, including melanoma, their functions within MITF-SOX10 transcriptional programmes remain poorly investigated. Here we identified 245 candidate melanoma associated lncRNAs whose loci are co-occupied by MITF-SOX10 and that are enriched at active enhancer-like regions. We characterise the function and molecular mechanism of action of one of these lncRNAs, Disrupted In Renal Carcinoma 3 (DIRC3), and show that it operates as a MITF-SOX10 regulated tumour suppressor. DIRC3 depletion in human melanoma cells leads to increased anchorage-independent growth, a hallmark of malignant transformation, whilst melanoma patients classified by low DIRC3 expression have decreased survival. DIRC3 is a nuclear lncRNA that functions locally to activate expression of its neighbouring IGFBP5 tumour suppressor through modulating chromatin structure and suppressing SOX10 binding to putative regulatory elements within the DIRC3 locus. In turn, DIRC3 dependent regulation of IGFBP5 impacts the expression of genes involved in multiple cancer associated processes. Our work indicates that lncRNA components of the MITF-SOX10 networks are an important new class of melanoma regulators and candidate therapeutic targets."
biorxiv,10.1101/2020.02.13.946889,10.1016/j.gecco.2020.e01425,Global Ecology and Conservation,Trophic guild and forest type explain phyllostomid bat abundance variation from human habitat disturbance.,"Carballo-Morales, J. D.; Saldana-Vazquez, R. A.; Villalobos, F.",ecology,2020-02-13,2020-12-25,"The loss of tropical forest cover caused by land-use change is causing a reduction in functional groups, such as trophic guilds. Phyllostomid bats (family Phyllostomidae) are essential in the Neotropics since they occupy up to six trophic guilds, and are pollinators, seed dispersers, and regulators of vertebrate and invertebrate populations. In this study, a series of meta-analyses were performed in order to analyse their response to habitat disturbance. Data were obtained through a comprehensive literature review whereby we measured the abundance of phyllostomid bats in disturbed habitats and conserved forests. We found that the abundance of phytophagous bats depends on the type of habitat disturbance and the type of forest where it occurs. On the other hand, animal-feeding bats reduce their abundance in any disturbed habitat regardless of disturbance type and forest type. No phylogenetic signal was found in the response of bats to habitat disturbance, nor was the response found to be dependent on the type of crop, the age of the secondary forest, or the distance to a conserved forest. These results demonstrate that feeding and the type of forest where the disturbance occurs are important aspects to understand the reduction of animal populations in the face of habitat destruction processes. This has implications on the conservation of species and their function in ecosystems.

HighlightsO_LINo phylogenetic signal was found in the abundance of bats in disturbed habitats.
C_LIO_LIThe abundance of bats in disturbed habitats depends on the trophic guild.
C_LIO_LIForest altitude influences the abundance of bats in disturbed habitats.
C_LIO_LIAnimal-feeding bats reduced their abundance in disturbed habitats regardless of disturbance type and forest type.
C_LI"
biorxiv,10.1101/2021.09.10.459772,10.1016/j.str.2022.03.010,Structure,Mechanistic insight into light-dependent recognition of Timeless by Drosophila cryptochrome,"Lin, C.; Schneps, C. M.; Chandrasekaran, S.; Ganguly, A.; Crane, B. R.",biochemistry,2021-09-10,2022-04-08,"Cryptochrome (CRY) entrains the fly circadian clock by binding to Timeless (TIM) in light and triggering its degradation. Undocking of a helical C-terminal tail (CTT) in response to photoreduction of the CRY flavin cofactor gates TIM binding. A generally-applicable Select Western-blot-Free Tagged-protein Interaction (SWFTI) assay enables quantification of CRY binding to TIM in dark and light. The assay is utilized to study CRY variants with residue substitutions in the flavin pocket and correlate their TIM affinities with CTT undocking, as measured by pulse-dipolar ESR spectroscopy and evaluated by molecular dynamics simulations. CRY variants with the CTT removed or undocked bind TIM constitutively, whereas those incapable of photoreduction bind TIM weakly. In response to flavin redox state, two conserved histidine residues contribute to a robust on/off switch by mediating CTT interactions with the flavin pocket and TIM. Our approach provides an expeditious means to quantify protein-protein interactions and photoreceptor targeting."
biorxiv,10.1101/2021.01.04.425185,10.1371/journal.pone.0253037,PLOS ONE,"A meta-analysis of transcriptomic profiles from Huntington's disease patients substantiates the pathophysiological role of CDC42, NFY, DLX1 and PRMT3","Seefelder, M.; Kochanek, S.",neuroscience,2021-01-07,2021-06-10,"Description of robust transcriptomic alterations in Huntingtons disease is essential to identify targets for biochemical studies and drug development. We analysed publicly available transcriptome data from the brain and blood of 220 HD patients and 241 healthy controls and identified 737 and 661 genes with robustly altered mRNA levels in the brain and blood of HD patients, respectively. In the brain, a subnetwork of 320 genes strongly correlated with HD and was enriched in transport-related genes. Bioinformatical analysis of this subnetwork highlighted CDC42, PAK1, YWHAH, NFY, DLX1, HMGN3, and PRMT3. Moreover, we found that CREB1 can regulate 78.0 % of genes whose mRNA levels correlated with HD in the blood of patients. Alterations in protein transport, metabolism, transcriptional regulation, and CDC42-mediated functions are likely central features of HD. Further our data substantiate the role of transcriptional regulators that have not been reported in the context of HD (e.g. DLX1, HMGN3 and PRMT3) and strongly suggest dysregulation of NFY and its target genes across tissues. A large proportion of the identified genes such as CDC42 were also altered in Parkinsons (PD) and Alzheimers disease (AD). The observed dysregulation of CDC42 and YWHAH in samples from HD, AD and PD patients indicates that those genes and their upstream regulators may be interesting therapeutic targets."
medrxiv,10.1101/2020.03.19.20039354,10.1016/j.asoc.2020.106897,Applied Soft Computing,AI-assisted CT imaging analysis for COVID-19 screening: Building and deploying a medical AI system in four weeks,"Jin, S.; Wang, B.; Xu, H.; Luo, C.; Wei, L.; Zhao, W.; Hou, X.; Ma, W.; Xu, Z.; Zheng, Z.; Sun, W.; Lan, L.; Zhang, W.; Mu, X.; Shi, C.; Wang, Z.; Lee, J.; Jin, Z.; Lin, M.; Jin, H.; Zhang, L.; Guo, J.; Zhao, B.; Ren, Z.; Wang, S.; You, Z.; Dong, J.; Wang, X.; Wang, J.; Xu, W.",health informatics,2020-03-23,2020-11-10,"The sudden outbreak of novel coronavirus 2019 (COVID-19) increased the diagnostic burden of radiologists. In the time of an epidemic crisis, we hoped artificial intelligence (AI) to help reduce physician workload in regions with the outbreak, and improve the diagnosis accuracy for physicians before they could acquire enough experience with the new disease. Here, we present our experience in building and deploying an AI system that automatically analyzes CT images to detect COVID-19 pneumonia features. Different from conventional medical AI, we were dealing with an epidemic crisis. Working in an interdisciplinary team of over 30 people with medical and / or AI background, geographically distributed in Beijing and Wuhan, we were able to overcome a series of challenges in this particular situation and deploy the system in four weeks. Using 1,136 training cases (723 positives for COVID-19) from five hospitals, we were able to achieve a sensitivity of 0.974 and specificity of 0.922 on the test dataset, which included a variety of pulmonary diseases. Besides, the system automatically highlighted all lesion regions for faster examination. As of today, we have deployed the system in 16 hospitals, and it is performing over 1,300 screenings per day."
biorxiv,10.1101/2021.03.29.437568,10.1111/imb.12739,Insect Molecular Biology,Cis-regulatory elements of the cholinergic gene locus in the silkworm Bombyx mori,"Banzai, K.; Izumi, S.",molecular biology,2021-03-29,2021-09-30,"Genes of choline acetyltransferase (ChAT) and vesicular acetylcholine transporter (VAChT) are encoded in the same gene locus, called the cholinergic gene locus. They are essential in cholinergic neurons to maintain their functional phenotype. The genomic structure of the cholinergic gene locus is conserved among invertebrates to mammals. However, it is still inconclusive how cholinergic genes express only in cholinergic neurons in insects. In this study, we analyzed the upstream sequence of cholinergic gene locus in the silkworm Bombyx mori to identify specific cis-regulatory regions. We found multiple enhancer regions that are localized within 1 kb upstream of the cholinergic gene locus. The combination of promoter assays using small deletions and bioinformatic analysis among insect species illuminates two conserved sequences in the cis-regulatory region: TGACGTA and CCAAT, which are known as the cAMP response element and CAAT box, respectively. We found that dibutyryl-cAMP, an analog of cAMP, influences the expression of ChAT. Tissue-specific expression analysis of transcriptional factors showed potential candidates that control the cholinergic gene locus expression. Our investigation provides new insight into the regulation mechanism of cholinergic neuron-specific gene machinery in this lepidopteran insect."
